Country,Election type,Year,Freedom house
Austria,EU Parliament,2014,1.0
Austria,EU Parliament,2009,1.0
Austria,EU Parliament,2004,1.0
Austria,EU Parliament,1999,1.0
Austria,EU Parliament,1996,1.0
Belgium,EU Parliament,2014,1.0
Belgium,EU Parliament,2009,1.0
Belgium,EU Parliament,2004,1.0
Belgium,EU Parliament,1999,1.5
Belgium,EU Parliament,1994,1.0
Belgium,EU Parliament,1989,1.0
Belgium,EU Parliament,1984,1.0
Belgium,EU Parliament,1979,1.0
Bulgaria,EU Parliament,2014,2.0
Bulgaria,EU Parliament,2009,2.0
Bulgaria,EU Parliament,2007,1.5
Croatia,EU Parliament,2014,1.5
Croatia,EU Parliament,2013,1.5
Cyprus,EU Parliament,2014,1.0
Cyprus,EU Parliament,2009,1.0
Cyprus,EU Parliament,2004,1.0
Czech Republic,EU Parliament,2014,1.0
Czech Republic,EU Parliament,2009,1.0
Czech Republic,EU Parliament,2004,1.5
Denmark,EU Parliament,2014,1.0
Denmark,EU Parliament,2009,1.0
Denmark,EU Parliament,2004,1.0
Denmark,EU Parliament,1999,1.0
Denmark,EU Parliament,1994,1.0
Denmark,EU Parliament,1989,1.0
Denmark,EU Parliament,1984,1.0
Denmark,EU Parliament,1979,1.0
Estonia,EU Parliament,2014,1.0
Estonia,EU Parliament,2009,1.0
Estonia,EU Parliament,2004,1.5
Finland,EU Parliament,2014,1.0
Finland,EU Parliament,2009,1.0
Finland,EU Parliament,2004,1.0
Finland,EU Parliament,1999,1.0
Finland,EU Parliament,1996,1.0
France,EU Parliament,2014,1.0
France,EU Parliament,2009,1.0
France,EU Parliament,2004,1.0
France,EU Parliament,1999,1.5
France,EU Parliament,1994,1.5
France,EU Parliament,1989,1.5
France,EU Parliament,1984,1.5
France,EU Parliament,1979,1.5
Germany,EU Parliament,2014,1.0
Germany,EU Parliament,2009,1.0
Germany,EU Parliament,2004,1.0
Germany,EU Parliament,1999,1.5
Germany,EU Parliament,1994,1.5
Greece,EU Parliament,2014,2.0
Greece,EU Parliament,2009,1.5
Greece,EU Parliament,2004,1.5
Greece,EU Parliament,1999,2.0
Greece,EU Parliament,1994,2.0
Greece,EU Parliament,1989,1.5
Greece,EU Parliament,1984,1.5
Greece,EU Parliament,1981,1.5
Hungary,EU Parliament,2014,1.5
Hungary,EU Parliament,2009,1.0
Hungary,EU Parliament,2004,1.5
Ireland,EU Parliament,2014,1.0
Ireland,EU Parliament,2009,1.0
Ireland,EU Parliament,2004,1.0
Ireland,EU Parliament,1999,1.0
Ireland,EU Parliament,1994,1.5
Ireland,EU Parliament,1989,1.0
Ireland,EU Parliament,1984,1.0
Ireland,EU Parliament,1979,1.0
Italy,EU Parliament,2014,1.0
Italy,EU Parliament,2009,1.5
Italy,EU Parliament,2004,1.0
Italy,EU Parliament,1999,1.5
Italy,EU Parliament,1994,1.5
Italy,EU Parliament,1989,1.0
Italy,EU Parliament,1984,1.0
Italy,EU Parliament,1979,2.0
Latvia,EU Parliament,2014,2.0
Latvia,EU Parliament,2009,1.5
Latvia,EU Parliament,2004,1.5
Lithuania,EU Parliament,2014,1.0
Lithuania,EU Parliament,2009,1.0
Lithuania,EU Parliament,2004,2.0
Luxembourg,EU Parliament,2014,1.0
Luxembourg,EU Parliament,2009,1.0
Luxembourg,EU Parliament,2004,1.0
Luxembourg,EU Parliament,1999,1.0
Luxembourg,EU Parliament,1994,1.0
Luxembourg,EU Parliament,1989,1.0
Luxembourg,EU Parliament,1984,1.0
Luxembourg,EU Parliament,1979,1.0
Malta,EU Parliament,2014,1.0
Malta,EU Parliament,2009,1.0
Malta,EU Parliament,2004,1.0
Netherlands,EU Parliament,2014,1.0
Netherlands,EU Parliament,2009,1.0
Netherlands,EU Parliament,2004,1.0
Netherlands,EU Parliament,1999,1.0
Netherlands,EU Parliament,1994,1.0
Netherlands,EU Parliament,1989,1.0
Netherlands,EU Parliament,1984,1.0
Netherlands,EU Parliament,1979,1.0
Poland,EU Parliament,2014,1.0
Poland,EU Parliament,2009,1.0
Poland,EU Parliament,2004,1.5
Portugal,EU Parliament,2014,1.0
Portugal,EU Parliament,2009,1.0
Portugal,EU Parliament,2004,1.0
Portugal,EU Parliament,1999,1.0
Portugal,EU Parliament,1994,1.0
Portugal,EU Parliament,1989,1.5
Portugal,EU Parliament,1987,1.5
Romania,EU Parliament,2014,2.0
Romania,EU Parliament,2009,2.0
Romania,EU Parliament,2007,2.0
Slovakia,EU Parliament,2014,1.0
Slovakia,EU Parliament,2009,1.0
Slovakia,EU Parliament,2004,1.5
Slovenia,EU Parliament,2014,1.0
Slovenia,EU Parliament,2009,1.0
Slovenia,EU Parliament,2004,1.0
Spain,EU Parliament,2014,1.0
Spain,EU Parliament,2009,1.0
Spain,EU Parliament,2004,1.0
Spain,EU Parliament,1999,1.5
Spain,EU Parliament,1994,1.5
Spain,EU Parliament,1989,1.0
Spain,EU Parliament,1987,1.5
Sweden,EU Parliament,2014,1.0
Sweden,EU Parliament,2009,1.0
Sweden,EU Parliament,2004,1.0
Sweden,EU Parliament,1999,1.0
Sweden,EU Parliament,1995,1.0
United Kingdom,EU Parliament,2014,1.0
United Kingdom,EU Parliament,2009,1.0
United Kingdom,EU Parliament,2004,1.0
United Kingdom,EU Parliament,1999,1.5
United Kingdom,EU Parliament,1994,1.5
United Kingdom,EU Parliament,1989,1.0
United Kingdom,EU Parliament,1984,1.0
United Kingdom,EU Parliament,1979,1.0
